OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
INTELSAT 14 (IS-14),2009-064A,36097,PAY,+,ITSO,2009-11-23,AFETR,,1435.85,0.11,35796,35768,25.9029,,EA,ORB
EUTELSAT 36B,2009-065A,36101,PAY,+,EUTE,2009-11-24,TYMSC,,1436.1,0.68,35811,35762,12.5893,,EA,ORB
INTELSAT 15 (IS-15),2009-067A,36106,PAY,+,ITSO,2009-11-30,TYMSC,,1436.1,0.02,35796,35777,12.5893,,EA,ORB
WGS F3 (USA 211),2009-068A,36108,PAY,+,US,2009-12-06,AFETR,,1436.09,0.32,35790,35783,10.0,,EA,ORB
DIRECTV 12,2009-075A,36131,PAY,+,US,2009-12-29,TYMSC,,1436.1,0.04,35788,35785,14.1132,,EA,ORB
BEIDOU-2 G1,2010-001A,36287,PAY,P,PRC,2010-01-16,XICLF,,1436.08,4.47,35794,35779,79.4328,,EA,ORB
SDO,2010-005A,36395,PAY,+,US,2010-02-11,AFETR,,1436.05,34.81,35794,35778,5.1714,,EA,ORB
INTELSAT 16 (IS-16),2010-006A,36397,PAY,+,ITSO,2010-02-12,TYMSC,,1436.1,0.02,35797,35776,266.9529,,EA,ORB
EWS-G2 (GOES 15),2010-008A,36411,PAY,B,US,2010-03-04,AFETR,,1436.12,1.49,35809,35765,6.3096,,EA,ORB
ECHOSTAR 14,2010-010A,36499,PAY,+,US,2010-03-20,TYMSC,,1436.11,0.06,35795,35779,46.2338,,EA,ORB
SES-1,2010-016A,36516,PAY,+,SES,2010-04-24,TYMSC,,1436.1,0.06,35797,35776,26.9753,,EA,ORB
ASTRA 3B,2010-021A,36581,PAY,+,SES,2010-05-21,FRGUI,,1436.06,1.67,35801,35770,8.168,,EA,ORB
